time,temperature,humidity,comfort_index
2026-05-15T07:00,8.6,74,7.86
2026-05-15T08:00,8.2,75,7.45
2026-05-15T09:00,8.1,75,7.35
2026-05-15T10:00,8.5,72,7.78
2026-05-15T11:00,9.2,68,8.52
2026-05-15T12:00,10.1,63,9.47
2026-05-15T13:00,11.5,57,10.93
2026-05-15T14:00,13.2,50,12.7
2026-05-15T15:00,14.8,45,14.35
2026-05-15T16:00,16.4,42,15.98
2026-05-15T17:00,17.9,39,17.51
2026-05-15T18:00,19.1,38,18.72
2026-05-15T19:00,20.0,37,19.63
2026-05-15T20:00,20.6,37,20.23
2026-05-15T21:00,20.6,38,20.22
2026-05-15T22:00,19.8,41,19.39
2026-05-15T23:00,18.5,45,18.05
