,time,interval,temperature,windspeed,winddirection,is_day,weathercode,city,temp_category
0,2026-05-04T06:45,900,8.3,15.6,232,0,0,New York,Not Hot
1,2026-05-04T06:45,900,33.5,8.8,325,1,1,Bengaluru,Hot
2,2026-05-04T06:45,900,13.2,8.3,44,1,3,London,Not Hot
3,2026-05-04T06:45,900,23.7,11.9,209,1,2,Tokyo,Not Hot
